Layer,BER Value,Average Accuracy
conv1,1e-05,64.76
conv1,0.0007235714285714287,64.18
conv1,0.0014371428571428573,64.2
conv1,0.0021507142857142857,64.36
conv1,0.0028642857142857146,64.37
conv1,0.0035778571428571435,63.95
conv1,0.004291428571428571,62.79
conv1,0.005005,62.95
conv1,0.005718571428571429,62.44
conv1,0.006432142857142858,63.0
conv1,0.0071457142857142865,57.51
conv1,0.007859285714285714,61.37
conv1,0.008572857142857142,63.57
conv1,0.009286428571428572,62.88
conv1,0.01,61.45
conv2,1e-05,64.76
conv2,0.0007235714285714287,64.74
conv2,0.0014371428571428573,64.51
conv2,0.0021507142857142857,64.74
conv2,0.0028642857142857146,64.29
conv2,0.0035778571428571435,64.15
conv2,0.004291428571428571,63.74
conv2,0.005005,64.41
conv2,0.005718571428571429,64.6
conv2,0.006432142857142858,64.26
conv2,0.0071457142857142865,63.64
conv2,0.007859285714285714,63.64
conv2,0.008572857142857142,63.74
conv2,0.009286428571428572,63.55
conv2,0.01,63.49
conv3,1e-05,64.76
conv3,0.0007235714285714287,64.62
conv3,0.0014371428571428573,64.9
conv3,0.0021507142857142857,64.51
conv3,0.0028642857142857146,64.87
conv3,0.0035778571428571435,64.54
conv3,0.004291428571428571,64.44
conv3,0.005005,64.13
conv3,0.005718571428571429,64.51
conv3,0.006432142857142858,63.99
conv3,0.0071457142857142865,63.87
conv3,0.007859285714285714,64.23
conv3,0.008572857142857142,64.17
conv3,0.009286428571428572,63.82
conv3,0.01,63.29
conv4,1e-05,64.76
conv4,0.0007235714285714287,64.69
conv4,0.0014371428571428573,64.68
conv4,0.0021507142857142857,64.51
conv4,0.0028642857142857146,64.54
conv4,0.0035778571428571435,64.61
conv4,0.004291428571428571,64.48
conv4,0.005005,64.59
conv4,0.005718571428571429,64.56
conv4,0.006432142857142858,64.69
conv4,0.0071457142857142865,64.52
conv4,0.007859285714285714,64.31
conv4,0.008572857142857142,64.72
conv4,0.009286428571428572,64.23
conv4,0.01,64.33
conv5,1e-05,64.76
conv5,0.0007235714285714287,64.68
conv5,0.0014371428571428573,64.66
conv5,0.0021507142857142857,64.72
conv5,0.0028642857142857146,64.7
conv5,0.0035778571428571435,64.38
conv5,0.004291428571428571,64.6
conv5,0.005005,64.24
conv5,0.005718571428571429,64.38
conv5,0.006432142857142858,64.34
conv5,0.0071457142857142865,64.31
conv5,0.007859285714285714,64.41
conv5,0.008572857142857142,64.17
conv5,0.009286428571428572,64.4
conv5,0.01,64.05
conv6,1e-05,64.77
conv6,0.0007235714285714287,64.67
conv6,0.0014371428571428573,64.77
conv6,0.0021507142857142857,64.58
conv6,0.0028642857142857146,64.85
conv6,0.0035778571428571435,64.69
conv6,0.004291428571428571,64.7
conv6,0.005005,64.33
conv6,0.005718571428571429,64.4
conv6,0.006432142857142858,64.38
conv6,0.0071457142857142865,64.45
conv6,0.007859285714285714,64.51
conv6,0.008572857142857142,64.27
conv6,0.009286428571428572,64.46
conv6,0.01,64.22
conv7,1e-05,64.69
conv7,0.0007235714285714287,64.62
conv7,0.0014371428571428573,64.72
conv7,0.0021507142857142857,64.52
conv7,0.0028642857142857146,64.75
conv7,0.0035778571428571435,64.37
conv7,0.004291428571428571,64.51
conv7,0.005005,64.58
conv7,0.005718571428571429,64.22
conv7,0.006432142857142858,64.16
conv7,0.0071457142857142865,64.04
conv7,0.007859285714285714,64.02
conv7,0.008572857142857142,64.21
conv7,0.009286428571428572,63.89
conv7,0.01,63.99
conv8,1e-05,64.76
conv8,0.0007235714285714287,64.61
conv8,0.0014371428571428573,64.61
conv8,0.0021507142857142857,64.48
conv8,0.0028642857142857146,64.71
conv8,0.0035778571428571435,64.72
conv8,0.004291428571428571,64.28
conv8,0.005005,64.37
conv8,0.005718571428571429,64.36
conv8,0.006432142857142858,64.13
conv8,0.0071457142857142865,64.03
conv8,0.007859285714285714,64.1
conv8,0.008572857142857142,64.23
conv8,0.009286428571428572,63.96
conv8,0.01,64.21
fc1,1e-05,64.76
fc1,0.0007235714285714287,64.64
fc1,0.0014371428571428573,64.64
fc1,0.0021507142857142857,64.79
fc1,0.0028642857142857146,64.54
fc1,0.0035778571428571435,64.34
fc1,0.004291428571428571,64.63
fc1,0.005005,63.91
fc1,0.005718571428571429,64.35
fc1,0.006432142857142858,64.23
fc1,0.0071457142857142865,63.93
fc1,0.007859285714285714,64.49
fc1,0.008572857142857142,64.48
fc1,0.009286428571428572,63.95
fc1,0.01,64.3
fc2,1e-05,64.76
fc2,0.0007235714285714287,64.49
fc2,0.0014371428571428573,64.33
fc2,0.0021507142857142857,64.06
fc2,0.0028642857142857146,63.4
fc2,0.0035778571428571435,63.71
fc2,0.004291428571428571,62.92
fc2,0.005005,63.65
fc2,0.005718571428571429,63.0
fc2,0.006432142857142858,62.51
fc2,0.0071457142857142865,62.56
fc2,0.007859285714285714,61.56
fc2,0.008572857142857142,62.03
fc2,0.009286428571428572,60.79
fc2,0.01,60.6
