Layer,Sigma Value,Average Accuracy
conv1,0.0,64.76
conv1,0.0035714285714285718,64.79
conv1,0.0071428571428571435,64.74
conv1,0.010714285714285714,64.77
conv1,0.014285714285714287,64.8
conv1,0.01785714285714286,64.79
conv1,0.02142857142857143,64.69
conv1,0.025,64.69
conv1,0.028571428571428574,64.69
conv1,0.03214285714285715,64.65
conv1,0.03571428571428572,64.66
conv1,0.03928571428571429,64.65
conv1,0.04285714285714286,64.63
conv1,0.04642857142857143,64.64
conv1,0.05,64.14
conv2,0.0,64.76
conv2,0.0035714285714285718,64.75
conv2,0.0071428571428571435,64.69
conv2,0.010714285714285714,64.71
conv2,0.014285714285714287,64.67
conv2,0.01785714285714286,64.82
conv2,0.02142857142857143,64.72
conv2,0.025,64.72
conv2,0.028571428571428574,64.71
conv2,0.03214285714285715,64.7
conv2,0.03571428571428572,64.77
conv2,0.03928571428571429,64.7
conv2,0.04285714285714286,64.83
conv2,0.04642857142857143,64.7
conv2,0.05,64.82
conv3,0.0,64.76
conv3,0.0035714285714285718,64.73
conv3,0.0071428571428571435,64.75
conv3,0.010714285714285714,64.74
conv3,0.014285714285714287,64.74
conv3,0.01785714285714286,64.71
conv3,0.02142857142857143,64.76
conv3,0.025,64.69
conv3,0.028571428571428574,64.76
conv3,0.03214285714285715,64.68
conv3,0.03571428571428572,64.66
conv3,0.03928571428571429,64.69
conv3,0.04285714285714286,64.73
conv3,0.04642857142857143,64.55
conv3,0.05,64.69
conv4,0.0,64.76
conv4,0.0035714285714285718,64.75
conv4,0.0071428571428571435,64.69
conv4,0.010714285714285714,64.73
conv4,0.014285714285714287,64.75
conv4,0.01785714285714286,64.69
conv4,0.02142857142857143,64.7
conv4,0.025,64.75
conv4,0.028571428571428574,64.7
conv4,0.03214285714285715,64.55
conv4,0.03571428571428572,64.77
conv4,0.03928571428571429,64.62
conv4,0.04285714285714286,64.62
conv4,0.04642857142857143,64.63
conv4,0.05,64.72
conv5,0.0,64.76
conv5,0.0035714285714285718,64.76
conv5,0.0071428571428571435,64.8
conv5,0.010714285714285714,64.69
conv5,0.014285714285714287,64.82
conv5,0.01785714285714286,64.77
conv5,0.02142857142857143,64.69
conv5,0.025,64.77
conv5,0.028571428571428574,64.8
conv5,0.03214285714285715,64.81
conv5,0.03571428571428572,64.66
conv5,0.03928571428571429,64.85
conv5,0.04285714285714286,64.82
conv5,0.04642857142857143,64.68
conv5,0.05,64.71
conv6,0.0,64.76
conv6,0.0035714285714285718,64.67
conv6,0.0071428571428571435,64.7
conv6,0.010714285714285714,64.68
conv6,0.014285714285714287,64.82
conv6,0.01785714285714286,64.75
conv6,0.02142857142857143,64.81
conv6,0.025,64.73
conv6,0.028571428571428574,64.66
conv6,0.03214285714285715,64.67
conv6,0.03571428571428572,64.64
conv6,0.03928571428571429,64.73
conv6,0.04285714285714286,64.87
conv6,0.04642857142857143,64.67
conv6,0.05,64.53
conv7,0.0,64.76
conv7,0.0035714285714285718,64.71
conv7,0.0071428571428571435,64.77
conv7,0.010714285714285714,64.76
conv7,0.014285714285714287,64.63
conv7,0.01785714285714286,64.83
conv7,0.02142857142857143,64.47
conv7,0.025,64.78
conv7,0.028571428571428574,64.77
conv7,0.03214285714285715,64.8
conv7,0.03571428571428572,64.74
conv7,0.03928571428571429,64.6
conv7,0.04285714285714286,64.91
conv7,0.04642857142857143,64.85
conv7,0.05,64.58
conv8,0.0,64.76
conv8,0.0035714285714285718,64.76
conv8,0.0071428571428571435,64.78
conv8,0.010714285714285714,64.74
conv8,0.014285714285714287,64.77
conv8,0.01785714285714286,64.77
conv8,0.02142857142857143,64.78
conv8,0.025,64.86
conv8,0.028571428571428574,64.8
conv8,0.03214285714285715,64.65
conv8,0.03571428571428572,64.78
conv8,0.03928571428571429,64.76
conv8,0.04285714285714286,64.78
conv8,0.04642857142857143,64.74
conv8,0.05,64.71
fc1,0.0,64.76
fc1,0.0035714285714285718,64.77
fc1,0.0071428571428571435,64.73
fc1,0.010714285714285714,64.77
fc1,0.014285714285714287,64.78
fc1,0.01785714285714286,64.75
fc1,0.02142857142857143,64.74
fc1,0.025,64.75
fc1,0.028571428571428574,64.76
fc1,0.03214285714285715,64.73
fc1,0.03571428571428572,64.77
fc1,0.03928571428571429,64.77
fc1,0.04285714285714286,64.72
fc1,0.04642857142857143,64.77
fc1,0.05,64.78
fc2,0.0,64.76
fc2,0.0035714285714285718,64.76
fc2,0.0071428571428571435,64.76
fc2,0.010714285714285714,64.76
fc2,0.014285714285714287,64.76
fc2,0.01785714285714286,64.76
fc2,0.02142857142857143,64.76
fc2,0.025,64.76
fc2,0.028571428571428574,64.76
fc2,0.03214285714285715,64.76
fc2,0.03571428571428572,64.76
fc2,0.03928571428571429,64.76
fc2,0.04285714285714286,64.76
fc2,0.04642857142857143,64.76
fc2,0.05,64.76
