Layer,BER Value,Average Accuracy
conv1,1e-05,64.44000000000003
conv1,0.0007235714285714287,64.37866666666667
conv1,0.0014371428571428573,63.932
conv1,0.0021507142857142857,64.11066666666667
conv1,0.0028642857142857146,63.888000000000005
conv1,0.0035778571428571435,63.481333333333325
conv1,0.004291428571428571,63.23333333333334
conv1,0.005005,63.20666666666666
conv1,0.005718571428571429,62.93266666666666
conv1,0.006432142857142858,62.598666666666674
conv1,0.0071457142857142865,62.690000000000005
conv1,0.007859285714285714,62.19666666666667
conv1,0.008572857142857142,61.56266666666666
conv1,0.009286428571428572,61.602000000000004
conv1,0.01,61.224000000000004
conv2,1e-05,64.44933333333334
conv2,0.0007235714285714287,64.50066666666666
conv2,0.0014371428571428573,64.466
conv2,0.0021507142857142857,64.334
conv2,0.0028642857142857146,64.33733333333333
conv2,0.0035778571428571435,64.26133333333333
conv2,0.004291428571428571,64.14800000000001
conv2,0.005005,64.14466666666667
conv2,0.005718571428571429,64.11200000000001
conv2,0.006432142857142858,63.967999999999996
conv2,0.0071457142857142865,63.68999999999999
conv2,0.007859285714285714,63.609333333333325
conv2,0.008572857142857142,63.502666666666656
conv2,0.009286428571428572,63.29066666666666
conv2,0.01,63.330666666666666
conv3,1e-05,64.46133333333336
conv3,0.0007235714285714287,64.54533333333332
conv3,0.0014371428571428573,64.464
conv3,0.0021507142857142857,64.39200000000001
conv3,0.0028642857142857146,64.32200000000002
conv3,0.0035778571428571435,64.288
conv3,0.004291428571428571,64.18199999999999
conv3,0.005005,64.03266666666666
conv3,0.005718571428571429,64.09533333333333
conv3,0.006432142857142858,63.965333333333334
conv3,0.0071457142857142865,63.84733333333334
conv3,0.007859285714285714,63.632666666666665
conv3,0.008572857142857142,63.71866666666667
conv3,0.009286428571428572,63.57133333333333
conv3,0.01,63.38133333333334
conv4,1e-05,64.46733333333333
conv4,0.0007235714285714287,64.55466666666666
conv4,0.0014371428571428573,64.52533333333334
conv4,0.0021507142857142857,64.53666666666668
conv4,0.0028642857142857146,64.4893333333333
conv4,0.0035778571428571435,64.49933333333334
conv4,0.004291428571428571,64.50266666666668
conv4,0.005005,64.492
conv4,0.005718571428571429,64.39133333333334
conv4,0.006432142857142858,64.46799999999999
conv4,0.0071457142857142865,64.42333333333333
conv4,0.007859285714285714,64.42133333333335
conv4,0.008572857142857142,64.38133333333333
conv4,0.009286428571428572,64.402
conv4,0.01,64.28
conv5,1e-05,64.46533333333335
conv5,0.0007235714285714287,64.56133333333332
conv5,0.0014371428571428573,64.51466666666666
conv5,0.0021507142857142857,64.42266666666667
conv5,0.0028642857142857146,64.45466666666667
conv5,0.0035778571428571435,64.40266666666666
conv5,0.004291428571428571,64.36333333333333
conv5,0.005005,64.26133333333333
conv5,0.005718571428571429,64.19866666666665
conv5,0.006432142857142858,64.19
conv5,0.0071457142857142865,64.19933333333334
conv5,0.007859285714285714,64.06066666666666
conv5,0.008572857142857142,64.05333333333333
conv5,0.009286428571428572,63.93733333333333
conv5,0.01,63.86666666666667
conv6,1e-05,64.46333333333334
conv6,0.0007235714285714287,64.53599999999999
conv6,0.0014371428571428573,64.49333333333333
conv6,0.0021507142857142857,64.49333333333334
conv6,0.0028642857142857146,64.48466666666668
conv6,0.0035778571428571435,64.40799999999999
conv6,0.004291428571428571,64.40533333333333
conv6,0.005005,64.37866666666666
conv6,0.005718571428571429,64.29799999999999
conv6,0.006432142857142858,64.362
conv6,0.0071457142857142865,64.29599999999999
conv6,0.007859285714285714,64.314
conv6,0.008572857142857142,64.27533333333334
conv6,0.009286428571428572,64.26266666666666
conv6,0.01,64.14133333333332
conv7,1e-05,64.47200000000001
conv7,0.0007235714285714287,64.49333333333333
conv7,0.0014371428571428573,64.44933333333333
conv7,0.0021507142857142857,64.38133333333332
conv7,0.0028642857142857146,64.32066666666665
conv7,0.0035778571428571435,64.27
conv7,0.004291428571428571,64.172
conv7,0.005005,64.146
conv7,0.005718571428571429,64.108
conv7,0.006432142857142858,63.97733333333334
conv7,0.0071457142857142865,63.998666666666665
conv7,0.007859285714285714,63.984666666666676
conv7,0.008572857142857142,63.89999999999999
conv7,0.009286428571428572,63.722666666666655
conv7,0.01,63.68533333333333
conv8,1e-05,64.46066666666667
conv8,0.0007235714285714287,64.50666666666667
conv8,0.0014371428571428573,64.47733333333333
conv8,0.0021507142857142857,64.50533333333334
conv8,0.0028642857142857146,64.43133333333333
conv8,0.0035778571428571435,64.38933333333333
conv8,0.004291428571428571,64.26
conv8,0.005005,64.34466666666667
conv8,0.005718571428571429,64.27333333333333
conv8,0.006432142857142858,64.206
conv8,0.0071457142857142865,64.09333333333332
conv8,0.007859285714285714,64.08266666666665
conv8,0.008572857142857142,63.99333333333333
conv8,0.009286428571428572,63.967999999999996
conv8,0.01,64.01866666666666
fc1,1e-05,64.45133333333335
fc1,0.0007235714285714287,64.47933333333333
fc1,0.0014371428571428573,64.46799999999999
fc1,0.0021507142857142857,64.42933333333332
fc1,0.0028642857142857146,64.36866666666667
fc1,0.0035778571428571435,64.35600000000001
fc1,0.004291428571428571,64.318
fc1,0.005005,64.192
fc1,0.005718571428571429,64.14933333333335
fc1,0.006432142857142858,64.09466666666667
fc1,0.0071457142857142865,64.07866666666668
fc1,0.007859285714285714,64.04866666666668
fc1,0.008572857142857142,64.01933333333334
fc1,0.009286428571428572,63.91133333333334
fc1,0.01,63.85733333333333
fc2,1e-05,64.43600000000002
fc2,0.0007235714285714287,64.22466666666668
fc2,0.0014371428571428573,63.98733333333333
fc2,0.0021507142857142857,63.63933333333334
fc2,0.0028642857142857146,63.41733333333334
fc2,0.0035778571428571435,63.257333333333335
fc2,0.004291428571428571,62.968666666666664
fc2,0.005005,62.691999999999986
fc2,0.005718571428571429,62.28
fc2,0.006432142857142858,62.53533333333334
fc2,0.0071457142857142865,61.79066666666668
fc2,0.007859285714285714,61.94200000000001
fc2,0.008572857142857142,61.392666666666656
fc2,0.009286428571428572,61.398
fc2,0.01,61.21533333333333
